family,model,n,metric,mean_percent,std_percent,ci95_halfwidth_pp,ci95_lower_percent,ci95_upper_percent
YOLO,YOLOv8n,892,IoU,86.32677649506859,13.86297791103005,0.9097669912149596,85.41700950385363,87.23654348628355
YOLO,YOLOv8n,892,Dice/F1,91.85524192285908,11.163224567826534,0.7325939125422624,91.12264801031681,92.58783583540135
YOLO,YOLOv8n,892,Precision,91.29826246592617,11.797138315144988,0.7741949167629247,90.52406754916325,92.0724573826891
YOLO,YOLOv8n,892,Recall,93.27829672450055,11.69470062246591,0.7674723761909242,92.51082434830963,94.04576910069147
YOLO,YOLOv8n,892,Boundary IoU,40.94988846811539,15.200269896604807,0.9975276523009318,39.95236081581446,41.94741612041633
YOLO,YOLOv8n,892,Boundary F1,62.148257474228096,18.955006706408607,1.2439347108840215,60.90432276334408,63.392192185112116
YOLO,YOLOv8n,892,Pixel accuracy,94.57864530415642,8.233018257556152,0.5402972071992689,94.03834809695717,95.1189425113557
YOLO,YOLOv8s,892,IoU,89.02898318113813,11.22488933631546,0.7366407033005095,88.29234247783762,89.76562388443864
YOLO,YOLOv8s,892,Dice/F1,93.72976840566484,8.06046269452299,0.5289731355311478,93.20079527013368,94.25874154119599
YOLO,YOLOv8s,892,Precision,92.87556929712406,9.152039852810622,0.6006086003892556,92.27496069673481,93.47617789751331
YOLO,YOLOv8s,892,Recall,95.18206049128983,8.275407646961504,0.5430790385998703,94.63898145268996,95.7251395298897
YOLO,YOLOv8s,892,Boundary IoU,45.10005217608016,16.518861227420608,1.0840610706889071,44.01599110539126,46.18411324676907
YOLO,YOLOv8s,892,Boundary F1,66.57546950197622,20.199200228498857,1.3255857244213494,65.24988377755486,67.90105522639756
YOLO,YOLOv8s,892,Pixel accuracy,96.0205499623154,4.7998382983890195,0.31499252722384613,95.70555743509155,96.33554248953924
YOLO,YOLOv8m,892,IoU,83.81663273479312,14.517589579156773,0.9527263100242331,82.86390642476889,84.76935904481735
YOLO,YOLOv8m,892,Dice/F1,90.3167984865604,11.451201249478423,0.7514925706002873,89.56530591596011,91.06829105716069
YOLO,YOLOv8m,892,Precision,89.90144268909523,13.144135792540283,0.8625925070966024,89.03885018199863,90.76403519619184
YOLO,YOLOv8m,892,Recall,91.79618949169482,10.359334253158229,0.6798380849317509,91.11635140676307,92.47602757662658
YOLO,YOLOv8m,892,Boundary IoU,34.969982012073935,14.24859077823712,0.9350730877999959,34.034908924273935,35.905055099873934
YOLO,YOLOv8m,892,Boundary F1,54.65020781889605,18.593485376619583,1.2202096371968951,53.429998181699155,55.87041745609294
YOLO,YOLOv8m,892,Pixel accuracy,93.82814771709803,6.952510892570185,0.45626307397418603,93.37188464312385,94.28441079107222
YOLO,YOLOv8l,892,IoU,88.01712813506309,12.732910731491828,0.8356055935414296,87.18152254152166,88.85273372860453
YOLO,YOLOv8l,892,Dice/F1,92.96890436690376,9.994694788495725,0.6559083816044236,92.31299598529934,93.62481274850818
YOLO,YOLOv8l,892,Precision,92.54411600317589,10.601002987220793,0.6956977536457791,91.84841824953011,93.23981375682166
YOLO,YOLOv8l,892,Recall,94.13769312979709,10.185363795390094,0.6684211598713656,93.46927196992571,94.80611428966846
YOLO,YOLOv8l,892,Boundary IoU,45.01897756855571,16.473600510968865,1.0810908065731593,43.937886761982554,46.10006837512887
YOLO,YOLOv8l,892,Boundary F1,66.7419018438735,20.25881920135708,1.3294982585034671,65.41240358537004,68.07140010237698
YOLO,YOLOv8l,892,Pixel accuracy,95.23485370171792,7.481153687782774,0.4909556031201326,94.7438980985978,95.72580930483807
