model,image,iou,dice,precision,recall,pixel_accuracy,inference_time_s
YOLOv8n,10452_sat_08.jpg,0.8985432984408169,0.9465607649599013,0.9738971754998413,0.9207170717071708,0.978851318359375,0.28459350000775885
YOLOv8n,10452_sat_18.jpg,0.0,0.0,0.0,0.0,0.845611572265625,0.07016550000116695
YOLOv8n,111335_sat_00.jpg,0.6794181451925312,0.8091113545931607,0.9574984986624447,0.7005452257793933,0.7474517822265625,0.08164610000676475
YOLOv8n,111335_sat_01.jpg,0.45100849066743093,0.6216483136635228,0.7370393138374169,0.5374975983604807,0.5323486328125,0.08952140000474174
YOLOv8n,111335_sat_02.jpg,0.6692274421765906,0.8018409298423118,0.957958666234264,0.689477369660704,0.75494384765625,0.10242319999088068
YOLOv8n,111335_sat_03.jpg,0.5826183939601922,0.736271480457527,0.6546330883238944,0.8411730096305701,0.70306396484375,0.059310299999197014
YOLOv8n,111335_sat_04.jpg,0.8820689389859199,0.9373396698860442,0.9578685716672933,0.9176722499049449,0.9064483642578125,0.08222130000649486
YOLOv8n,111335_sat_07.jpg,0.8770122835126268,0.9344768717990407,1.0,0.8770122835126268,0.87701416015625,0.07761989999562502
YOLOv8n,111335_sat_08.jpg,0.46217329129408524,0.6321730728442486,0.5422916750899608,0.757768361581921,0.523681640625,0.0670490000047721
YOLOv8n,111335_sat_10.jpg,0.0,0.0,0.0,0.0,0.0017547607421875,0.06550450000213459
YOLOv8n,111335_sat_12.jpg,0.5077142141828879,0.6734886617196825,0.9961011849941671,0.5087251689374579,0.5199432373046875,0.07776759999978822
YOLOv8n,111335_sat_13.jpg,0.746790105355759,0.8550427473410315,0.9156843105529445,0.8019343229869546,0.8155364990234375,0.07410610000079032
YOLOv8n,111335_sat_15.jpg,0.2794939546801185,0.43688202458134123,0.9873281665440968,0.2805001526815705,0.3134765625,0.088520300007076
YOLOv8n,111335_sat_23.jpg,0.6362159393928691,0.7776674509465322,0.9657418576598311,0.6509060687636633,0.6856689453125,0.07477320000180043
YOLOv8n,111335_sat_24.jpg,0.8085056232742945,0.8941145804241375,0.9921695832730729,0.8136977481064778,0.826446533203125,0.07941580000624526
YOLOv8n,111335_sat_25.jpg,0.8476782872848256,0.9175604791356768,0.9642519231560327,0.8751820184445357,0.8714599609375,0.06954409999889322
YOLOv8n,111335_sat_26.jpg,0.665649256676753,0.7992670173609465,0.9127579737335835,0.7108775676511085,0.8061065673828125,0.07073180000588764
YOLOv8n,111335_sat_27.jpg,0.6411931334458152,0.7813743798690888,1.0,0.6411931334458152,0.64630126953125,0.07498160000250209
