image,instances,method,iou,dice_f1,precision,recall,boundary_iou,boundary_f1,pixel_accuracy
0-11-24_png_jpg.rf.0914ae816085b671b01c387df2dd7787.jpg,7,OR,0.7087975946831542,0.8295863675002184,0.7348368760877309,0.9523866105361346,0.27990927990852416,0.4567680738252523,0.9437231445310196
0-11-24_png_jpg.rf.0914ae816085b671b01c387df2dd7787.jpg,7,AND,0.0,0.0,0.0,0.0,0.0,0.0,0.856171874999791
0-11-24_png_jpg.rf.0914ae816085b671b01c387df2dd7787.jpg,7,weighted_mean,0.7087975946831542,0.8295863675002184,0.7348368760877309,0.9523866105361346,0.27990927990852416,0.4567680738252523,0.9437231445310196
0-13-19_png_jpg.rf.0802b67da70f9b5bd437aa1139aa1d99.jpg,8,OR,0.6426802690262678,0.7824776143530715,0.6575817641223684,0.9659407103011847,0.27290186287624135,0.4735966533579636,0.8883227539060331
0-13-19_png_jpg.rf.0802b67da70f9b5bd437aa1139aa1d99.jpg,8,AND,0.0,0.0,0.0,0.0,0.0,0.0,0.7920532226560566
0-13-19_png_jpg.rf.0802b67da70f9b5bd437aa1139aa1d99.jpg,8,weighted_mean,0.6426802690262678,0.7824776143530715,0.6575817641223684,0.9659407103011847,0.27290186287624135,0.4735966533579636,0.8883227539060331
0-13-24_png_jpg.rf.b10c6d74717ffac0937a0e56b90320da.jpg,8,OR,0.8077033653961312,0.8936237890104664,0.872310319589757,0.9160048628023922,0.23121092029902032,0.41223129501714334,0.8856933593747838
0-13-24_png_jpg.rf.b10c6d74717ffac0937a0e56b90320da.jpg,8,AND,0.0,0.0,0.0,0.0,0.0,0.0,0.47585205078113385
0-13-24_png_jpg.rf.b10c6d74717ffac0937a0e56b90320da.jpg,8,weighted_mean,0.8077033653961312,0.8936237890104664,0.872310319589757,0.9160048628023922,0.23121092029902032,0.41223129501714334,0.8856933593747838
0-13-24_png_jpg.rf.d7b8e23481af336f5081b102c591be2e.jpg,6,OR,0.8098548548132215,0.8949390086828805,0.8920452996187651,0.8978515526724554,0.13002755813301747,0.23210120064707057,0.8874829101560333
0-13-24_png_jpg.rf.d7b8e23481af336f5081b102c591be2e.jpg,6,AND,0.0,0.0,0.0,0.0,0.0,0.0,0.46625244140613614
0-13-24_png_jpg.rf.d7b8e23481af336f5081b102c591be2e.jpg,6,weighted_mean,0.8098548548132215,0.8949390086828805,0.8920452996187651,0.8978515526724554,0.13002755813301747,0.23210120064707057,0.8874829101560333
0-13-25_png_jpg.rf.15b87e94de094c41958f666acd54941f.jpg,11,OR,0.4934600920977793,0.6608279587901725,0.5192293454203151,0.9086158497071782,0.23515476942467792,0.41038860522672027,0.8418212890622945
0-13-25_png_jpg.rf.15b87e94de094c41958f666acd54941f.jpg,11,AND,0.0,0.0,0.0,0.0,0.0,0.0,0.8304077148435473
0-13-25_png_jpg.rf.15b87e94de094c41958f666acd54941f.jpg,11,weighted_mean,0.4934600920977793,0.6608279587901725,0.5192293454203151,0.9086158497071782,0.23515476942467792,0.41038860522672027,0.8418212890622945
0-13-25_png_jpg.rf.d6ce7565e97953930b57ba6a6296fb67.jpg,10,OR,0.3682112788068779,0.5382374557355928,0.3786474392716603,0.9303598651061802,0.18562733532257272,0.3421421309960992,0.8312695312497971
0-13-25_png_jpg.rf.d6ce7565e97953930b57ba6a6296fb67.jpg,10,AND,0.0,0.0,0.0,0.0,0.0,0.0,0.8943017578122817
0-13-25_png_jpg.rf.d6ce7565e97953930b57ba6a6296fb67.jpg,10,weighted_mean,0.36877763840915484,0.5388422897348939,0.37924638445279146,0.9303598651061802,0.18569279232642416,0.3422986550957852,0.8316796874997969
0-13-35_png_jpg.rf.feb7275bda8ed2fc4200d19cfe3bfc86.jpg,4,OR,0.8650580364798484,0.9276473113003797,0.8829976043993932,0.9770530301915495,0.21294674838770009,0.3433916059164688,0.8732421874997868
0-13-35_png_jpg.rf.feb7275bda8ed2fc4200d19cfe3bfc86.jpg,4,AND,0.0,0.0,0.0,0.0,0.0,0.0,0.1683227539062089
0-13-35_png_jpg.rf.feb7275bda8ed2fc4200d19cfe3bfc86.jpg,4,weighted_mean,0.8650580364798484,0.9276473113003797,0.8829976043993932,0.9770530301915495,0.21294674838770009,0.3433916059164688,0.8732421874997868
