model,n,elapsed_s,iou_mean,iou_std,dice_mean,dice_std,precision_mean,precision_std,recall_mean,recall_std,pixel_accuracy_mean,pixel_accuracy_std,inference_time_s_mean,inference_time_s_std
mask_rcnn_R_101_C4_3x,5108,853.8106841999979,0.5260074823708214,0.3710071741115464,0.596870184008152,0.38497610097513585,0.6608803345443802,0.40150952239973464,0.6187228442833227,0.3882465303654036,0.7242033143667103,0.26288764026374906,0.14122661333200448,0.02442018066490831
mask_rcnn_R_101_DC5_3x,5108,1124.1484904999961,0.601268789998774,0.33715827941937687,0.6804522031767506,0.33970626815864885,0.7166109185339594,0.3548140869927479,0.7273764663966332,0.3324047386079031,0.7636661275626162,0.22019382029528758,0.20379792225897475,0.009728563947983472
mask_rcnn_R_101_FPN_3x,5108,1014.5700111000042,0.5360740902429342,0.3603418331597642,0.6110404403095866,0.3751824022625712,0.6797678944151861,0.39706651739257004,0.6206953118743178,0.3769964011621335,0.735960671373336,0.250369867393933,0.18433435689131117,0.013858303748754854
mask_rcnn_R_50_C4_1x,5108,626.1012273999804,0.5036299910483854,0.3628372810469677,0.5801297512203538,0.3767761818363607,0.6770101458366304,0.3967463975314577,0.5862517433833246,0.38256009666359153,0.7094363135664185,0.26531237523799595,0.11339682490208115,0.009658363019086666
mask_rcnn_R_50_C4_3x,5108,593.0785031999985,0.4788342452543833,0.3615030042383681,0.5562242219077279,0.37848109080855785,0.6660148627254701,0.4025054147296961,0.5545662183135872,0.3828995275938637,0.6948815855834292,0.2690830382677517,0.11389698743134051,0.010216835636436168
mask_rcnn_R_50_DC5_1x,5108,827.1275571000006,0.5077973127855551,0.3565008480046783,0.5866166336900164,0.37250564233304667,0.6730358368661161,0.3971871623238749,0.5920375648909357,0.3741330618283472,0.7117307807844695,0.2582635826566769,0.14752074935379808,0.009838991032069184
