model,image,iou,dice,precision,recall,pixel_accuracy,inference_time_s
mask_rcnn_R_101_C4_3x,10452_sat_08.jpg,0.8921619421212346,0.9430080187756699,0.9853674487043244,0.9041404140414041,0.9777679443359375,0.12250310002127662
mask_rcnn_R_101_C4_3x,10452_sat_18.jpg,0.0,0.0,0.0,0.0,0.83819580078125,0.1271746999991592
mask_rcnn_R_101_C4_3x,111335_sat_00.jpg,0.8779034576681547,0.934982524350077,0.9431619589514326,0.9269437398893571,0.9015045166015625,0.13573239999823272
mask_rcnn_R_101_C4_3x,111335_sat_01.jpg,0.24912891986062718,0.398884239888424,0.5647532650348009,0.30832781845740026,0.3357696533203125,0.1509416000044439
mask_rcnn_R_101_C4_3x,111335_sat_02.jpg,0.6754352522556869,0.8062803398058253,0.9972792944929167,0.676682156725444,0.76617431640625,0.13059479999355972
mask_rcnn_R_101_C4_3x,111335_sat_03.jpg,0.6415719120547345,0.7816555672564928,0.7501138692780688,0.8159663084879076,0.7753753662109375,0.1339737999951467
mask_rcnn_R_101_C4_3x,111335_sat_04.jpg,0.9210860435589413,0.9589222165734621,0.9746997664275823,0.9436473154429569,0.9383544921875,0.12670459999935701
mask_rcnn_R_101_C4_3x,111335_sat_07.jpg,0.9209430075532158,0.9588446965183615,1.0,0.9209430075532158,0.9209442138671875,0.13202479999745265
mask_rcnn_R_101_C4_3x,111335_sat_08.jpg,0.5739644970414202,0.7293233082706767,0.9361607933415973,0.5973446327683616,0.760498046875,0.12706060000346042
mask_rcnn_R_101_C4_3x,111335_sat_10.jpg,0.9804840087890625,0.9901458476189009,0.9982135089790592,0.9822075480350346,0.9804840087890625,0.12785790002089925
mask_rcnn_R_101_C4_3x,111335_sat_12.jpg,0.5495511022672077,0.7093036189166506,0.9988039640050119,0.5499129834903812,0.5613250732421875,0.14725840001483448
mask_rcnn_R_101_C4_3x,111335_sat_13.jpg,0.6827248694588276,0.8114515710205141,0.9597358722358722,0.7028565002249213,0.778411865234375,0.12940229999367148
mask_rcnn_R_101_C4_3x,111335_sat_15.jpg,0.8084194766099103,0.8940618999806232,0.9890484634721437,0.8157213802413976,0.81646728515625,0.1380582999845501
mask_rcnn_R_101_C4_3x,111335_sat_23.jpg,0.9458940973764144,0.9721948369664439,0.9825089023782727,0.962095069468283,0.953521728515625,0.12243200000375509
mask_rcnn_R_101_C4_3x,111335_sat_24.jpg,0.9595849081625887,0.9793756873360968,0.9779196864494113,0.9808360302963552,0.962799072265625,0.12303789998986758
mask_rcnn_R_101_C4_3x,111335_sat_25.jpg,0.9097368612342808,0.9527353005547678,0.9716243231178309,0.9345667027592129,0.9242095947265625,0.11562979998416267
mask_rcnn_R_101_C4_3x,111335_sat_26.jpg,0.7010706156742631,0.8242698559534822,1.0,0.7010706156742631,0.837677001953125,0.11354520000168122
mask_rcnn_R_101_C4_3x,111335_sat_27.jpg,0.6601705803136078,0.7953045164658934,1.0,0.6601705803136078,0.665008544921875,0.10857310000574216
mask_rcnn_R_101_C4_3x,111335_sat_35.jpg,0.8123280759151651,0.8964470469895099,0.8953855538411856,0.8975110599575585,0.824066162109375,0.12280240000109188
mask_rcnn_R_101_C4_3x,111335_sat_36.jpg,0.603305205171839,0.7525768683663421,0.6637137397950321,0.8689137630441923,0.65496826171875,0.1276532999763731
mask_rcnn_R_101_C4_3x,111335_sat_37.jpg,0.5580096163824415,0.716310875767365,0.9901181525241676,0.5611346876304438,0.6100616455078125,0.12152010001591407
mask_rcnn_R_101_C4_3x,111335_sat_44.jpg,0.8617054094761101,0.9257161794664354,0.8813452365485626,0.9747916410066921,0.8837127685546875,0.11499370000092313
mask_rcnn_R_101_C4_3x,111335_sat_45.jpg,0.1761880687563195,0.29959166129378895,0.1866797607356486,0.7581580855692531,0.8508148193359375,0.12820119998650625
mask_rcnn_R_101_C4_3x,111335_sat_46.jpg,0.8450925964287194,0.9160435612439655,0.9654943910635679,0.8714114832535885,0.9429473876953125,0.11548739997670054
mask_rcnn_R_101_C4_3x,111335_sat_47.jpg,0.8029606256923232,0.8907134346142389,0.9770652506892679,0.8183855351613951,0.82086181640625,0.11632560001453385
mask_rcnn_R_101_C4_3x,111335_sat_48.jpg,0.963119926457986,0.98121354021985,0.9924698553377326,0.9702096936212958,0.9638824462890625,0.11480660000233911
mask_rcnn_R_101_C4_3x,111335_sat_54.jpg,0.7794176505903542,0.8760367756628336,0.7933896924017111,0.9779047140794677,0.7981719970703125,0.11600840001483448
mask_rcnn_R_101_C4_3x,111335_sat_55.jpg,0.5995514820592823,0.7496494971045413,0.6214249621020718,0.9445468509984639,0.874664306640625,0.11910929999430664
mask_rcnn_R_101_C4_3x,111335_sat_56.jpg,0.31398991962947825,0.4779183081069874,0.3362754394923043,0.8257209385634964,0.8463134765625,0.13004970000474714
mask_rcnn_R_101_C4_3x,111335_sat_57.jpg,0.37416053725615606,0.5445659762625087,0.4002736914129319,0.851528384279476,0.6715240478515625,0.12983289998373948
mask_rcnn_R_101_C4_3x,111335_sat_58.jpg,0.8710628984679798,0.9310888470731832,0.9822151881756485,0.8850216324656177,0.91729736328125,0.10759119997965172
mask_rcnn_R_101_C4_3x,111335_sat_60.jpg,0.8832741897326709,0.9380197472552321,0.9891379218990092,0.8919254658385093,0.924713134765625,0.11319599999114871
mask_rcnn_R_101_C4_3x,111335_sat_61.jpg,0.6989347785460661,0.8227917720822792,0.9871388808906805,0.7053579082726104,0.7295989990234375,0.1134678999951575
mask_rcnn_R_101_C4_3x,111335_sat_66.jpg,0.8600726536993608,0.9247731823687919,0.9895947232901837,0.8679216098745572,0.8607025146484375,0.1175873999891337
mask_rcnn_R_101_C4_3x,111335_sat_67.jpg,0.9442462157531555,0.9713237018053051,0.9884490077993879,0.9547816965208131,0.9458770751953125,0.11586170000373386
mask_rcnn_R_101_C4_3x,111335_sat_70.jpg,0.9122311148136026,0.9541013193925816,0.9556476748535095,0.9525599602336274,0.954986572265625,0.11652820001472719
mask_rcnn_R_101_C4_3x,111335_sat_71.jpg,0.9668353820197638,0.9831380814665948,0.9995348759946179,0.9672705644059351,0.968505859375,0.11520199998631142
mask_rcnn_R_101_C4_3x,111335_sat_73.jpg,0.5636771962034655,0.7209636331233161,0.9999418401768059,0.5636956771200472,0.5938568115234375,0.12454469999647699
mask_rcnn_R_101_C4_3x,111335_sat_74.jpg,0.8552232268560523,0.921962612882282,0.9679195510153498,0.8801719419132563,0.8587799072265625,0.11656270001549274
mask_rcnn_R_101_C4_3x,111335_sat_75.jpg,0.4015570611636002,0.5730156442295965,0.4117300277237819,0.9420363821953265,0.4123687744140625,0.1280978000140749
mask_rcnn_R_101_C4_3x,111335_sat_76.jpg,0.18780879317892807,0.3162273158061006,0.18850435219283562,0.980731548007838,0.405517578125,0.11549709999235347
mask_rcnn_R_101_C4_3x,111335_sat_77.jpg,0.3474355214619766,0.5156989198043506,0.35157043122432724,0.9672567892746649,0.3548736572265625,0.11678300000494346
mask_rcnn_R_101_C4_3x,111335_sat_78.jpg,0.889130601302183,0.9413119460235336,0.9088602837545805,0.9761668488773022,0.8895721435546875,0.11656990001210943
mask_rcnn_R_101_C4_3x,111335_sat_84.jpg,0.8178000718930754,0.8997689949933935,1.0,0.8178000718930754,0.8298492431640625,0.11163610001676716
